customer_id,age,income,savings,monthly_expenses,num_dependents,credit_score,loan_amount,loan_term_months,employment_years,home_ownership,education,marital_status,region,recent_default,has_credit_card,signup_date,signup_dayofweek,debt_to_income,sin_age,target_default_risk
CUST000001,58,53930,14598,3852,3,587,33369,24,4,RENT,Masters,Divorced,South,0,1,2018-01-01,0,0.86,0.993,0
CUST000002,48,30077,15287,3438,0,692,36728,48,16,OWN,HS,Married,West,1,0,2018-01-02,1,1.37,-0.768,1
CUST000003,34,50611,14965,1870,2,799,22576,24,25,OWN,Masters,Single,East,0,1,2018-01-03,2,0.44,0.529,0
CUST000004,62,46984,20508,5979,4,799,34001,60,9,RENT,Bachelors,Married,South,0,0,2018-01-04,3,1.53,-0.739,0
CUST000005,27,44060,10519,3431,4,659,22848,48,9,MORTGAGE,HS,Married,West,0,1,2018-01-05,4,0.93,0.956,0
CUST000006,40,112985,14380,1924,0,729,5390,48,10,OWN,Bachelors,Single,North,1,0,2018-01-06,5,0.2,0.745,0
CUST000007,58,114056,27984,2394,0,756,26999,24,16,MORTGAGE,Masters,Single,East,0,1,2018-01-07,6,0.25,0.993,0
CUST000008,38,73303,12865,2097,0,595,16569,24,4,OWN,PhD,Divorced,East,1,1,2018-01-08,0,0.34,0.296,1
CUST000009,42,89207,9125,4562,2,574,18029,12,12,OWN,Masters,Married,North,0,0,2018-01-09,1,0.61,-0.917,0
CUST000010,30,105046,4291,3836,3,570,27490,60,9,OWN,Bachelors,Single,North,0,0,2018-01-10,2,0.44,-0.988,0
CUST000011,30,59287,5033,3187,0,765,40328,12,8,OWN,Masters,Single,East,0,0,2018-01-11,3,0.65,-0.988,0
CUST000012,43,69711,6105,2072,0,670,10867,48,16,MORTGAGE,PhD,Married,South,1,1,2018-01-12,4,0.36,-0.832,0
CUST000013,55,41954,18087,3590,1,671,20284,24,0,MORTGAGE,Bachelors,Single,East,1,0,2018-01-13,5,1.03,-1.0,1
CUST000014,59,103340,9133,5169,2,682,38979,48,3,MORTGAGE,Masters,Divorced,North,1,1,2018-01-14,6,0.6,0.637,1
CUST000015,43,102101,17958,5772,0,619,14121,48,3,MORTGAGE,Bachelors,Divorced,South,1,0,2018-01-15,0,0.68,-0.832,1
CUST000016,22,101520,6704,3133,1,662,6539,36,17,RENT,Bachelors,Married,West,1,0,2018-01-16,1,0.37,-0.009,0
CUST000017,41,117062,28808,3017,4,656,30488,36,8,OWN,HS,Divorced,East,0,1,2018-01-17,2,0.31,-0.159,0
CUST000018,21,48574,8848,5793,0,661,22027,48,29,OWN,HS,Single,North,0,1,2018-01-18,3,1.43,0.837,0
CUST000019,43,39184,22592,4157,0,657,13693,24,24,OWN,Bachelors,Single,West,1,0,2018-01-19,4,1.27,-0.832,1
CUST000020,63,49096,13975,5148,1,596,13921,48,28,RENT,Masters,Single,East,1,1,2018-01-20,5,1.26,0.167,1
CUST000021,49,97728,7924,5088,2,764,15310,36,28,MORTGAGE,Masters,Single,East,0,1,2018-01-21,6,0.62,-0.954,0
CUST000022,57,64016,28208,3037,0,745,35908,24,17,OWN,Masters,Married,South,1,0,2018-01-22,0,0.57,0.436,1
CUST000023,21,41246,21212,4637,4,640,9386,48,13,MORTGAGE,PhD,Divorced,North,0,1,2018-01-23,1,1.35,0.837,0
CUST000024,40,75558,20614,1597,0,567,37263,60,24,MORTGAGE,Bachelors,Divorced,West,1,0,2018-01-24,2,0.25,0.745,1
CUST000025,52,48381,1488,4715,4,698,33412,60,14,RENT,Bachelors,Single,East,0,0,2018-01-25,3,1.17,0.987,0
CUST000026,31,66455,8114,5250,3,769,22303,48,5,RENT,PhD,Married,South,1,1,2018-01-26,4,0.95,-0.404,0
CUST000027,41,34018,26923,4657,3,776,17242,24,23,MORTGAGE,Bachelors,Single,West,1,0,2018-01-27,5,1.64,-0.159,0
CUST000028,63,41302,29257,1843,4,763,13947,48,9,OWN,Bachelors,Single,West,0,1,2018-01-28,6,0.54,0.167,0
CUST000029,44,97506,16740,2110,2,653,10930,48,28,OWN,PhD,Married,East,0,0,2018-01-29,0,0.26,0.018,0
CUST000030,46,71157,4173,3227,0,700,43170,36,14,RENT,HS,Married,West,1,1,2018-01-30,1,0.54,0.902,1
CUST000031,61,84917,2667,3790,0,741,5507,60,28,RENT,Bachelors,Single,East,1,1,2018-01-31,2,0.54,-0.966,0
CUST000032,47,113122,27213,3354,3,744,6436,36,3,RENT,PhD,Divorced,South,0,1,2018-02-01,3,0.36,0.124,0
CUST000033,35,54519,5114,4108,4,589,32151,36,17,RENT,Masters,Single,South,1,1,2018-02-02,4,0.9,-0.428,1
CUST000034,34,117487,4553,3579,0,791,16618,48,17,RENT,HS,Divorced,West,0,1,2018-02-03,5,0.37,0.529,0
CUST000035,63,86819,8761,3824,0,687,13750,36,24,RENT,Masters,Divorced,East,0,0,2018-02-04,6,0.53,0.167,0
CUST000036,22,110910,2000,2677,2,638,21122,60,16,RENT,Bachelors,Married,North,1,0,2018-02-05,0,0.29,-0.009,1
CUST000037,56,101324,16638,2591,1,729,12354,36,11,OWN,HS,Married,South,0,1,2018-02-06,1,0.31,-0.522,0
CUST000038,26,35408,26426,4291,3,790,49062,60,6,RENT,PhD,Single,East,0,0,2018-02-07,2,1.45,0.763,0
CUST000039,40,89379,18772,3249,3,749,35979,36,15,RENT,Bachelors,Divorced,East,1,1,2018-02-08,3,0.44,0.745,0
CUST000040,28,55053,6450,4175,1,796,25900,60,10,OWN,PhD,Divorced,East,0,1,2018-02-09,4,0.91,0.271,0
CUST000041,58,39446,4712,2281,0,752,18840,36,13,OWN,HS,Single,West,0,0,2018-02-10,5,0.69,0.993,0
CUST000042,37,30922,2367,4548,2,610,42167,36,2,MORTGAGE,Masters,Single,North,0,0,2018-02-11,6,1.76,-0.644,0
CUST000043,23,81356,9189,3605,2,741,10037,24,18,RENT,Bachelors,Single,West,0,1,2018-02-12,0,0.53,-0.846,0
CUST000044,44,40789,10013,5367,3,554,33633,60,17,RENT,Bachelors,Married,South,1,1,2018-02-13,1,1.58,0.018,1
CUST000045,33,96656,17838,3613,2,671,29495,60,29,RENT,PhD,Single,West,0,1,2018-02-14,2,0.45,1.0,0
CUST000046,28,74028,27200,5470,1,786,20848,60,9,RENT,HS,Single,East,1,1,2018-02-15,3,0.89,0.271,0
CUST000047,45,94484,20156,3491,0,730,41483,12,5,MORTGAGE,PhD,Divorced,West,0,1,2018-02-16,4,0.44,0.851,0
CUST000048,21,62154,4726,2567,1,604,12837,36,12,OWN,HS,Single,East,1,1,2018-02-17,5,0.5,0.837,1
CUST000049,39,112870,24616,3077,4,586,39069,60,9,OWN,Bachelors,Divorced,North,0,0,2018-02-18,6,0.33,0.964,0
CUST000050,47,32336,28723,2511,3,605,12370,12,17,RENT,HS,Divorced,West,1,1,2018-02-19,0,0.93,0.124,1
CUST000051,26,97779,29665,3774,2,736,11411,24,25,RENT,Bachelors,Married,West,0,1,2018-02-20,1,0.46,0.763,0
CUST000052,63,49029,5806,3314,4,786,44133,60,19,RENT,HS,Single,West,0,0,2018-02-21,2,0.81,0.167,0
CUST000053,27,89201,3190,3926,2,651,35499,60,25,MORTGAGE,Masters,Single,East,0,1,2018-02-22,3,0.53,0.956,0
CUST000054,54,62265,10108,5902,0,642,35225,12,15,MORTGAGE,HS,Divorced,East,0,1,2018-02-23,4,1.14,-0.559,0
CUST000055,33,73872,13178,4051,0,746,5692,36,24,OWN,Masters,Married,West,1,0,2018-02-24,5,0.66,1.0,0
CUST000056,36,76197,3875,5157,0,622,33926,24,24,RENT,HS,Married,West,1,1,2018-02-25,6,0.81,-0.992,1
CUST000057,55,85180,6592,1507,2,608,39246,60,5,RENT,HS,Single,North,0,0,2018-02-26,0,0.21,-1.0,0
CUST000058,59,53710,18824,4055,4,789,44164,36,12,RENT,PhD,Divorced,North,1,1,2018-02-27,1,0.91,0.637,1
CUST000059,23,59486,13592,1975,0,551,13448,24,3,RENT,PhD,Single,South,0,0,2018-02-28,2,0.4,-0.846,0
CUST000060,21,101907,9927,3711,4,742,48390,48,22,MORTGAGE,Bachelors,Single,North,0,0,2018-03-01,3,0.44,0.837,0
CUST000061,25,101895,29144,1984,2,653,15073,48,13,OWN,PhD,Single,North,1,0,2018-03-02,4,0.23,-0.132,0
CUST000062,61,94435,23443,3785,4,737,40414,24,0,OWN,HS,Single,North,1,1,2018-03-03,5,0.48,-0.966,0
CUST000063,23,70631,15437,5025,2,600,10209,12,27,MORTGAGE,PhD,Divorced,East,1,1,2018-03-04,6,0.85,-0.846,1
CUST000064,48,50103,12530,4839,2,579,11533,24,19,RENT,HS,Married,North,0,0,2018-03-05,0,1.16,-0.768,0
CUST000065,37,94772,8010,4322,3,560,26061,24,4,OWN,Masters,Single,North,0,0,2018-03-06,1,0.55,-0.644,0
CUST000066,45,44382,12207,4424,2,769,12211,12,7,OWN,HS,Single,West,1,1,2018-03-07,2,1.2,0.851,0
CUST000067,63,114291,24501,1758,2,657,14927,12,11,MORTGAGE,Bachelors,Single,East,0,1,2018-03-08,3,0.18,0.167,0
CUST000068,53,33756,28465,1782,1,625,16927,36,1,RENT,Masters,Single,South,1,1,2018-03-09,4,0.63,0.396,1
CUST000069,29,50609,26537,3398,0,716,29594,36,11,OWN,Bachelors,Married,South,1,1,2018-03-10,5,0.81,-0.664,1
CUST000070,55,46478,3989,5635,3,639,14316,12,4,RENT,Bachelors,Married,North,1,1,2018-03-11,6,1.45,-1.0,1
CUST000071,33,69666,13040,4476,3,754,17177,48,21,OWN,Bachelors,Married,South,1,0,2018-03-12,0,0.77,1.0,0
CUST000072,50,105683,10218,3767,3,672,15846,48,4,MORTGAGE,PhD,Married,South,1,1,2018-03-13,1,0.43,-0.262,0
CUST000073,34,101315,23612,4700,1,749,12933,24,12,RENT,Bachelors,Single,South,1,0,2018-03-14,2,0.56,0.529,0
CUST000074,27,107834,29441,2112,2,740,43244,60,8,MORTGAGE,Masters,Divorced,North,0,1,2018-03-15,3,0.24,0.956,0
CUST000075,33,44153,7471,2187,0,741,45696,24,9,OWN,HS,Married,South,0,0,2018-03-16,4,0.59,1.0,0
CUST000076,42,106325,3863,5190,4,738,7080,24,0,MORTGAGE,Bachelors,Married,North,1,0,2018-03-17,5,0.59,-0.917,0
CUST000077,59,42999,11693,2112,2,674,11089,60,29,MORTGAGE,Masters,Single,West,1,1,2018-03-18,6,0.59,0.637,1
CUST000078,40,85318,27523,3807,1,731,31123,12,2,MORTGAGE,Bachelors,Single,West,1,0,2018-03-19,0,0.54,0.745,0
CUST000079,35,30814,2177,4513,2,769,12797,48,29,OWN,HS,Single,South,0,0,2018-03-20,1,1.76,-0.428,0
